Categoria,Subcategoria,Modelo,Descripcion,Dimensiones_W,Dimensiones_D,Dimensiones_H,Material_Top,Material_Base,Acabado,Color_Opciones,Caracteristicas,Componentes,Opciones,Capacidad_Peso,Peso,Notas,Pagina
Tables,Science,Perpetulab Fixed Wooden Legs,"P7204K30SC - Configurable",48,21,"30-1/4","Laminate 1-1/4","Oak Hardwood","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","Adjustable leveling glides, 13-gauge steel corner braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters/Electrical/Leg Braces",500,,,"Wood option: Oak (K) or Light Hardwood (M)",4
Tables,Science,Perpetulab Fixed Wooden Legs,"C7205M30N - Configurable",48,24,"30-1/4","ChemGuard 1-1/4","Light Hardwood","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","Adjustable leveling glides, 13-gauge steel corner braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters/Electrical/Leg Braces",500,,,"Wood option: Oak (K) or Light Hardwood (M)",4
Tables,Science,Perpetulab Fixed Wooden Legs,"D7207M30N - Configurable",48,30,"30-1/4","Maple Butcher Block 1-3/4","Light Hardwood","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","Adjustable leveling glides, 13-gauge steel corner braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters/Electrical/Leg Braces",500,,,"Wood option: Oak (K) or Light Hardwood (M)",4
Tables,Science,Perpetulab Fixed Wooden Legs,"P920LCQKQ30N - Configurable",48,36,"30-1/4","Phenolic 3/4","Oak Hardwood","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","Adjustable leveling glides, 13-gauge steel corner braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters/Electrical/Leg Braces",500,,,"Wood option: Oak (K) or Light Hardwood (M)",4
Tables,Science,Perpetulab Fixed Wooden Legs,"C9206KL30N - Configurable",48,42,"30-1/4","ShopTop 1-1/2","Oak Hardwood","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","Adjustable leveling glides, 13-gauge steel corner braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters/Electrical/Leg Braces",500,,,"Wood option: Oak (K) or Light Hardwood (M)",4
Tables,Science,Perpetulab Fixed Wooden Legs,"D920LBBMS30N - Configurable",54,24,"30-3/4","Epoxy 1","Light Hardwood","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","Adjustable leveling glides, 13-gauge steel corner braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Glides/Casters/Electrical/Leg Braces",500,,,"Wood option: Oak (K) or Light Hardwood (M)",4
Tables,Science,Perpetulab Fixed Steel Legs,"Configurable - 48""Wx21""D",48,21,"30-1/4","Laminate 1-1/4","Steel","UV Finish","Almond/Black/Charcoal/Dry-Erase/Natural Maple/White","2-1/2"" square steel tube legs, 13-gauge corner braces","Heavy-duty steel, 8 colors available","Glides/Designer Casters/Industrial Casters/Electrical",500,,,"Steel colors: Aqua/Black/Carrot/Charcoal/Dark Gray/Light Gray/Lime/Silver/White",5
Tables,Science,Perpetulab Fixed Steel Legs,"Configurable - 60""Wx30""D",60,30,"30-1/4","ChemGuard 1-1/4","Steel","UV Finish","Black","2-1/2"" square steel tube legs, 13-gauge corner braces","Heavy-duty steel, 8 colors available","Glides/Designer Casters/Industrial Casters/Electrical",500,,,"Steel colors: Aqua/Black/Carrot/Charcoal/Dark Gray/Light Gray/Lime/Silver/White",5
Tables,Science,Perpetulab Adjustable Wooden Legs,"A7206K - Configurable",48,24,"30-36","Laminate 1-1/4","Oak Hardwood","UV Finish","Almond","Adjustable 30""-36"" height, bolt adjustment","2-1/4"" square solid oak legs, 4-1/2"" apron",,500,,,"Wood option: Oak (K) or Light Hardwood (M)",5
Tables,Science,Forward Vision Tables,"FVT7LWTK36C",83,43.5,36,"Laminate 1-1/4","Oak Hardwood","UV Finish","Almond","66.63""x22.37"" top, heavy-duty 13-gauge braces","2-1/4"" square solid oak legs, 4-1/2"" apron","Fixed wooden legs with glides/rubber boots/casters",500,,,"ADA compliant options available",6
